campaign,ad group,Labels,Headline 1,-,Headline 1 position,Headline 2,-,Headline 2 position,Headline 3,-,Headline 3 position,Headline 4,-,Headline 4 position,Headline 5,-,Headline 5 position,Headline 6,-,Headline 6 position,Headline 7,-,Headline 7 position,Headline 8,-,Headline 8 position,Headline 9,-,Headline 9 position,Headline 10,-,Headline 10 position,Headline 11,-,Headline 11 position,Headline 12,-,Headline 12 position,Headline 13,-,Headline 13 position,Headline 14,,Headline 14 position,Headline 15,-,Headline 15 position,Description 1,-,Description 1 position,Description 2,-,Description 2 position,Description 3,-,Description 3 position,Description 4,-,Description 4 position,påth 1,-,påth 2,-,Final URL
mb | Brand | Spacefinder,Spacefinder,,Spacefinder: Din Rådgiver,25,1,Norges Største Kontormarked,27,2,100% Gratis digital tjeneste,28,2,Hundrevis av ledige kontorer,28,2,Kontormarkedsplassen for SMB,28,3,Ekspert på kontor for din SMB,29,2,Start søket på få minutter,26,3,Få personlig kontormatch,24,3,Kontakt oss for rådgivning,26,3,,,,,,,,,,,,,,,,,,,Spacefinder er Norges største markedsplass for kontorlokaler. Tjenesten er 100% gratis.,87,,Få øyeblikkelig oversikt over kostnader. Start med vår raske og datadrevne matching.,84,,Vi er din digitale rådgiver. Sammenlign kontorer fra proffe utleiere i 3 enkle steg.,84,,Finn ditt neste kontor eller coworking space. Enkelt søk for din bedrift.,73,,,,,,https://spacefinder.no/
mb | NO | Search | Kontor,Kontor | Øvrige byer,,{KeyWord:Finn kontor som passer deg},36,1,Utforsk kontor i {LOCATION(City):din by},40,2,Vi følger deg hele veien,24,,Finn kontoret i 3 Steg,22,,Norges største kontormarked,27,,Få kontorvalg på sekunder,25,,Få ekte kontoralternativer,26,,,,,,,,,,,,,,,,,,,,,,,,,,"Finn fleksible kontorer i {LOCATION(City):din by}, raskt og enkelt med anbefalinger fra Spacefinder.",100,,Spacefinder hjelper deg å finne ditt nye kontor skreddersydd for din bedrift.,77,,Book gratis rådgivning hos oss og finn det perfekte kontoret for deg og din bedrift.,84,,"Hos Spacefinder kan du sammenligne leiepriser og få anbefalinger, helt kostnadsfritt.",85,,,,,,https://spacefinder.no/
mb | NO | Search | Kontor,Kontor | Bergen,,{KeyWord:Kontor til leie i Bergen},34,1,Vi følger deg hele veien,24,,Finn kontoret i 3 Steg,22,,Norges største kontormarked,27,,Få kontorvalg på sekunder,25,,Få ekte kontoralternativer,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Finn fleksible kontorer i Bergen, raskt og enkelt med anbefalinger fra Spacefinder.",83,,Spacefinder hjelper deg å finne ditt nye kontor skreddersydd for din bedrift.,77,,Book gratis rådgivning hos oss og finn det perfekte kontoret for deg og din bedrift.,84,,"Hos Spacefinder kan du sammenligne leiepriser og få anbefalinger, helt kostnadsfritt.",85,,,,,,https://spacefinder.no/kontorer/til-leie/bergen/
mb | NO | Search | Kontor,Kontor | Oslo,,{KeyWord:Kontor til leie i Oslo},32,1,Vi følger deg hele veien,24,,Finn kontoret i 3 Steg,22,,Norges største kontormarked,27,,Få kontorvalg på sekunder,25,,Få ekte kontoralternativer,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Finn fleksible kontorer i Oslo, raskt og enkelt med anbefalinger fra Spacefinder.",81,,Spacefinder hjelper deg å finne ditt nye kontor skreddersydd for din bedrift.,77,,Book gratis rådgivning hos oss og finn det perfekte kontoret for deg og din bedrift.,84,,"Hos Spacefinder kan du sammenligne leiepriser og få anbefalinger, helt kostnadsfritt.",85,,,,,,https://spacefinder.no/
mb | NO | Search | Kontor,Kontor,,{KeyWord:Se ledige kontorer nå},31,1,Vi følger deg hele veien,24,,Finn kontoret i 3 Steg,22,,Norges største kontormarked,27,,Få kontorvalg på sekunder,25,,Få ekte kontoralternativer,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Finn fleksible kontorer i Norge, raskt og enkelt med anbefalinger fra Spacefinder.",82,,Spacefinder hjelper deg å finne ditt nye kontor skreddersydd for din bedrift.,77,,Book gratis rådgivning hos oss og finn det perfekte kontoret for deg og din bedrift.,84,,"Hos Spacefinder kan du sammenligne leiepriser og få anbefalinger, helt kostnadsfritt.",85,,,,,,https://spacefinder.no/
mb | NO | Search | Kontorfelleskap,Kontorfelleskap | Øvrige byer,,{KeyWord:Kontorfellesskap for deg},34,1,Se kontorfellesskap i {LOCATION(City):din by},45,2,Vi følger deg hele veien,24,,Få kontorfelleskap i 3 Steg,27,,Norges største kontormarked,27,,Få kontorvalg på sekunder,25,,Få ekte kontoralternativer,26,,,,,,,,,,,,,,,,,,,,,,,,,,"Finn fleksible kontorfelleskap i {LOCATION(City):din by}, raskt og enkelt med anbefalinger fra Spacefinder.",107,,Spacefinder hjelper deg å finne ditt nye kontorfelleskap skreddersydd for din bedrift.,86,,Book gratis rådgivning hos oss og finn det perfekte kontoret for deg og din bedrift.,84,,"Hos Spacefinder kan du sammenligne leiepriser og få anbefalinger, helt kostnadsfritt.",85,,,,,,https://spacefinder.no/
mb | NO | Search | Kontorfelleskap,Kontorfelleskap | Bergen,,{KeyWord:Finn kontorfellesskap i Bergen},40,1,Vi følger deg hele veien,24,,Få kontorfelleskap i 3 Steg,27,,Norges største kontormarked,27,,Få kontorvalg på sekunder,25,,Få ekte kontoralternativer,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Finn fleksible kontorfelleskap i Bergen, raskt og enkelt med anbefalinger fra Spacefinder.",90,,Spacefinder hjelper deg å finne ditt nye kontorfelleskap skreddersydd for din bedrift.,86,,Book gratis rådgivning hos oss og finn det perfekte kontoret for deg og din bedrift.,84,,"Hos Spacefinder kan du sammenligne leiepriser og få anbefalinger, helt kostnadsfritt.",85,,,,,,https://spacefinder.no/kontorer/til-leie/bergen/
mb | NO | Search | Kontorfelleskap,Kontorfelleskap | Oslo,,{KeyWord:Finn kontorfellesskap i Oslo},38,1,Vi følger deg hele veien,24,,Få kontorfelleskap i 3 Steg,27,,Norges største kontormarked,27,,Få kontorvalg på sekunder,25,,Få ekte kontoralternativer,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Finn fleksible kontorfelleskap i Oslo, raskt og enkelt med anbefalinger fra Spacefinder.",88,,Spacefinder hjelper deg å finne ditt nye kontorfelleskap skreddersydd for din bedrift.,86,,Book gratis rådgivning hos oss og finn det perfekte kontoret for deg og din bedrift.,84,,"Hos Spacefinder kan du sammenligne leiepriser og få anbefalinger, helt kostnadsfritt.",85,,,,,,https://spacefinder.no/
mb | NO | Search | Kontorfelleskap,Kontorfelleskap,,{KeyWord:Finn ditt kontorfellesskap nå},39,1,Vi følger deg hele veien,24,,Få kontorfelleskap i 3 Steg,27,,Norges største kontormarked,27,,Få kontorvalg på sekunder,25,,Få ekte kontoralternativer,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Finn fleksible kontorfelleskap i Norge, raskt og enkelt med anbefalinger fra Spacefinder.",89,,Spacefinder hjelper deg å finne ditt nye kontorfelleskap skreddersydd for din bedrift.,86,,Book gratis rådgivning hos oss og finn det perfekte kontoret for deg og din bedrift.,84,,"Hos Spacefinder kan du sammenligne leiepriser og få anbefalinger, helt kostnadsfritt.",85,,,,,,https://spacefinder.no/
mb | NO | Search | Kontorleie,Kontorleie | Øvrige byer,,{KeyWord:Kontorleie som passer deg},35,1,Utforsk kontorleie i {LOCATION(City):din by},44,2,Vi følger deg hele veien,24,,Finn kontoret i 3 Steg,22,,Norges største kontormarked,22,,Få kontorvalg på sekunder,25,,Få ekte kontoralternativer,26,,,,,,,,,,,,,,,,,,,,,,,,,,"Leie fleksible kontorer i {LOCATION(City):din by}, raskt og enkelt med anbefalinger fra Spacefinder.",100,,Spacefinder hjelper deg å finne ditt nye kontor skreddersydd for din bedrift.,77,,Book gratis rådgivning hos oss og finn det perfekte kontoret for deg og din bedrift.,84,,"Hos Spacefinder kan du sammenligne leiepriser og få anbefalinger, helt kostnadsfritt.",85,,,,,,https://spacefinder.no/
