Campaign,Ad Group,Keyword,Match Type,Volume,Competition,Final URL
mb | DA | Search | Kontor Aarhus,Kontor | Aarhus,"""kontorfællesskab aarhus""",Phrase,320,MEDIUM,https://companyons.dk/perron
mb | DA | Search | Kontor Aarhus,Kontor | Aarhus,[kontor til leje århus],Exact,170,MEDIUM,https://companyons.dk/perron
mb | DA | Search | Kontor Aarhus,Kontor | Aarhus,[kontor leje århus],Exact,170,MEDIUM,https://companyons.dk/perron
mb | DA | Search | Kontor Aarhus,Kontor | Aarhus,[kontor leje aarhus],Exact,170,MEDIUM,https://companyons.dk/perron
mb | DA | Search | Kontor Aarhus,Kontor | Aarhus,[lej kontor aarhus],Exact,170,MEDIUM,https://companyons.dk/perron
mb | DA | Search | Kontor Aarhus,Kontor | Aarhus,[leje kontor århus],Exact,170,MEDIUM,https://companyons.dk/perron
mb | DA | Search | Kontor Aarhus,Kontor | Aarhus,[lej kontor århus],Exact,170,MEDIUM,https://companyons.dk/perron
mb | DA | Search | Kontor Aarhus,Kontor | Aarhus,[kontor til leje i århus],Exact,170,MEDIUM,https://companyons.dk/perron
mb | DA | Search | Kontor Aarhus,Kontor | Aarhus,"""kontor aarhus""",Phrase,110,MEDIUM,https://companyons.dk/perron
mb | DA | Search | Kontor Aarhus,Kontor | Aarhus,"""kontorhotel aarhus""",Phrase,110,MEDIUM,https://companyons.dk/perron
mb | DA | Search | Kontor Aarhus,Kontor | Aarhus,"""kontor århus""",Phrase,110,MEDIUM,https://companyons.dk/perron
mb | DA | Search | Kontor Aarhus,Kontor | Aarhus,[kontor i aarhus],Exact,110,MEDIUM,https://companyons.dk/perron
mb | DA | Search | Kontor Aarhus,Kontor | Aarhus,"""kontorplads aarhus""",Phrase,70,MEDIUM,https://companyons.dk/perron
mb | DA | Search | Kontor Aarhus,Kontor | Aarhus,"""kontorfællesskab århus""",Phrase,70,LOW,https://companyons.dk/perron
mb | DA | Search | Kontor Aarhus,Kontor | Aarhus,"""kontorhotel århus""",Phrase,70,LOW,https://companyons.dk/perron
mb | DA | Search | Kontor Aarhus,Kontor | Aarhus,"""kontorlokaler århus""",Phrase,70,LOW,https://companyons.dk/perron
mb | DA | Search | Kontor Aarhus,Kontor | Aarhus,"""kontorlokaler aarhus""",Phrase,50,MEDIUM,https://companyons.dk/perron
mb | DA | Search | Kontor Aarhus,Kontor | Aarhus,[kontor til leje aarhus],Exact,50,MEDIUM,https://companyons.dk/perron
mb | DA | Search | Kontor Aarhus,Kontor | Aarhus,[kontor aarhus c],Exact,50,HIGH,https://companyons.dk/perron
mb | DA | Search | Kontor Aarhus,Kontor | Aarhus,[kontorhotel aarhus c],Exact,50,HIGH,https://companyons.dk/perron
mb | DA | Search | Kontor Aarhus,Kontor | Aarhus,[kontor aarhus ø],Exact,10,HIGH,https://companyons.dk/perron
mb | DA | Search | Kontor Aarhus,Kontor | Aarhus,[kontorfællesskab aarhus ø],Exact,10,HIGH,https://companyons.dk/perron
mb | DA | Search | Kontor Aarhus,Kontor | Aarhus,[kontor århus ø],Exact,10,HIGH,https://companyons.dk/perron
mb | DA | Search | Kontor København,Kontor | København,[kontor til leje københavn],Exact,590,HIGH,https://companyons.dk/nordhavn
mb | DA | Search | Kontor København,Kontor | København,[kontor leje københavn],Exact,590,HIGH,https://companyons.dk/nordhavn
mb | DA | Search | Kontor København,Kontor | København,[lej kontor københavn],Exact,590,HIGH,https://companyons.dk/nordhavn
mb | DA | Search | Kontor København,Kontor | København,[leje af kontor københavn],Exact,590,HIGH,https://companyons.dk/nordhavn
mb | DA | Search | Kontor København,Kontor | København,[kontorer til leje københavn],Exact,590,HIGH,https://companyons.dk/nordhavn
mb | DA | Search | Kontor København,Kontor | København,[kontor københavn leje],Exact,590,HIGH,https://companyons.dk/nordhavn
